Wavelength (nm)	Reflectance
1024	0.7210207
1025	0.7182537
1026	0.7149518
1027	0.711098
1028	0.7066735
1029	0.7016547
1030	0.6960166
1031	0.6897284
1032	0.682758
1033	0.675068
1034	0.6666166
1035	0.6573607
1036	0.6472498
1037	0.6362333
1038	0.6242524
1039	0.6112499
1040	0.59716
1041	0.5819204
1042	0.5654615
1043	0.5477201
1044	0.5286286
1045	0.5081312
1046	0.4861726
1047	0.4627187
1048	0.4377441
1049	0.4112579
1050	0.3832947
1051	0.3523197
1052	0.3195381
1053	0.2855712
1054	0.2507652
1055	0.2155613
1056	0.1828069
1057	0.1512991
1058	0.121067
1059	0.0927628
1060	0.0670858
1061	0.0447245
1062	0.0263396
1063	0.0124989
1064	0.0036502
1065	7.5e-05
1066	0.0018713
1067	0.0089433
1068	0.021013
1069	0.0376394
1070	0.0582646
1071	0.082242
1072	0.1088978
1073	0.1375498
1074	0.1675618
1075	0.1983429
1076	0.2293858
1077	0.260252
1078	0.2905949
1079	0.3201301
1080	0.3486513
1081	0.3760091
1082	0.4020994
1083	0.4268697
1084	0.4502898
1085	0.4723653
1086	0.4930216
1087	0.5123784
1088	0.5304996
1089	0.5474398
1090	0.5632501
1091	0.5780388
1092	0.5918154
1093	0.6046265
1094	0.6165247
1095	0.6275654
1096	0.6377698
1097	0.6472114
1098	0.6559424
1099	0.6640023
1100	0.6714309
1101	0.6782557
1102	0.6845166
1103	0.6902437
1104	0.6954656
1105	0.700206
1106	0.7044877
1107	0.7083307
1108	0.7117544
1109	0.7147743
1110	0.7174058
1111	0.7196604
1112	0.72155
1113	0.7230845
1114	0.7242716
1115	0.7251181
1116	0.7256289
1117	0.725808
1118	0.725658
1119	0.72518
1120	0.7243742
1121	0.723239
1122	0.7217721
1123	0.7199695
1124	0.7178264
1125	0.7153361
1126	0.7124909
1127	0.7092819
1128	0.7056988
1129	0.7017306
1130	0.6973634
1131	0.6926097
1132	0.6874378
1133	0.6818256
1134	0.6757533
1135	0.6692018
1136	0.6621106
1137	0.6544799
1138	0.6462915
1139	0.6375203
1140	0.6281358
1141	0.618162
1142	0.6075341
1143	0.5962107
1144	0.5841582
1145	0.5713422
1146	0.5577322
1147	0.5432932
1148	0.5279972
1149	0.5118121
1150	0.4947158
1151	0.4766838
1152	0.4577054
1153	0.4377705
1154	0.4168873
1155	0.3950684
1156	0.3723512
1157	0.3487825
1158	0.3244413
1159	0.2994244
1160	0.2738571
1161	0.2479045
1162	0.221755
1163	0.1956436
1164	0.1698292
1165	0.1446157
1166	0.1203255
1167	0.0973149
1168	0.0759443
1169	0.0565865
1170	0.0395946
1171	0.0253038
1172	0.0140018
1173	0.0059263
1174	0.0012433
1175	4.35e-05
1176	0.0023164
1177	0.007967
1178	0.0168484
1179	0.0287487
1180	0.0433964
1181	0.060575
1182	0.0798966
1183	0.1009882
1184	0.1234883
1185	0.1470566
1186	0.1712783
1187	0.1959231
1188	0.2207442
1189	0.2455177
1190	0.2700422
1191	0.2942043
1192	0.3178346
1193	0.3408099
1194	0.3630535
1195	0.3845016
1196	0.4050479
1197	0.4247228
1198	0.4435373
1199	0.4614867
1200	0.4785826
1201	0.49482
1202	0.5102357
1203	0.5248538
1204	0.5387036
1205	0.5518099
1206	0.5642269
1207	0.5759645
1208	0.5870437
1209	0.5974961
1210	0.6073481
1211	0.6166211
1212	0.6253477
1213	0.6335579
1214	0.6412743
1215	0.6485218
1216	0.6552893
1217	0.6616275
1218	0.6675628
1219	0.6731146
1220	0.6782985
1221	0.6831533
1222	0.6876736
1223	0.6918665
1224	0.6957458
1225	0.6993228
1226	0.7026093
1227	0.7056147
1228	0.708349
1229	0.7108203
1230	0.7130367
1231	0.7149973
1232	0.7167172
1233	0.7182038
1234	0.7194624
1235	0.7204971
1236	0.7213116
1237	0.7219089
1238	0.7222917
1239	0.7224621
1240	0.7224214
1241	0.7221666
1242	0.7216987
1243	0.7210181
1244	0.7201245
1245	0.7190164
1246	0.717702
1247	0.7161744
1248	0.7144291
1249	0.7124627
1250	0.7102719
1251	0.7078521
1252	0.7051992
1253	0.7023077
1254	0.6991715
1255	0.695785
1256	0.6921406
1257	0.6882317
1258	0.6840494
1259	0.6795861
1260	0.6748315
1261	0.6697769
1262	0.6644108
1263	0.6587234
1264	0.6527018
1265	0.646335
1266	0.6396088
1267	0.6325113
1268	0.6250278
1269	0.6171429
1270	0.6088434
1271	0.6001429
1272	0.5910077
1273	0.5814131
1274	0.5713452
1275	0.560786
1276	0.5497093
1277	0.5381059
1278	0.5259669
1279	0.5132761
1280	0.5000239
1281	0.4861649
1282	0.4717149
1283	0.4566728
1284	0.4410396
1285	0.4248155
1286	0.4081019
1287	0.3908491
1288	0.3730485
1289	0.3547293
1290	0.3359215
1291	0.3166721
1292	0.29703
1293	0.2770638
1294	0.2568454
1295	0.2364678
1296	0.2159125
1297	0.1953876
1298	0.1750485
1299	0.1550435
1300	0.1355258
1301	0.1167629
1302	0.0988423
1303	0.0819072
1304	0.0661365
1305	0.0516997
1306	0.0387655
1307	0.027486
1308	0.0180023
1309	0.0104316
1310	0.0048707
1311	0.0013872
1312	2.14e-05
1313	0.0007821
1314	0.0036481
1315	0.0085683
1316	0.0154651
1317	0.0242334
1318	0.03475
1319	0.0468702
1320	0.0604408
1321	0.0752944
1322	0.0912652
1323	0.1081798
1324	0.125875
1325	0.1441855
1326	0.1628553
1327	0.1818144
1328	0.2009639
1329	0.2201824
1330	0.2393689
1331	0.2585341
1332	0.2775149
1333	0.296215
1334	0.3145704
1335	0.3325353
1336	0.3500652
1337	0.3671319
1338	0.3837072
1339	0.3997768
1340	0.4153253
1341	0.4302662
1342	0.4446624
1343	0.4585395
1344	0.4718985
1345	0.4847484
1346	0.4971224
1347	0.5090088
1348	0.5204131
1349	0.5313453
1350	0.5418206
1351	0.5518616
1352	0.5614747
1353	0.5706693
1354	0.5794613
1355	0.5878628
1356	0.5958634
1357	0.6034971
1358	0.6107855
1359	0.6177397
1360	0.6243735
1361	0.6306973
1362	0.6367233
1363	0.6424632
1364	0.6479262
1365	0.6531235
1366	0.6580638
1367	0.6627573
1368	0.6672116
1369	0.6714363
1370	0.6754381
1371	0.6792255
1372	0.6828047
1373	0.6861833
1374	0.6893669
1375	0.6923621
1376	0.6951738
1377	0.6978081
1378	0.7002693
1379	0.7025624
1380	0.7046919
1381	0.7066613
1382	0.708475
1383	0.710136
1384	0.7116479
1385	0.7130134
1386	0.7142354
1387	0.7153163
1388	0.7162584
1389	0.7170637
1390	0.7177341
1391	0.7182703
1392	0.7186761
1393	0.718953
1394	0.7191021
1395	0.7191241
1396	0.7190164
1397	0.7187801
1398	0.7184159
1399	0.7179239
1400	0.717304
1401	0.7165557
1402	0.7156787
1403	0.7146721
1404	0.7135351
1405	0.7122665
1406	0.7108764
1407	0.7093566
1408	0.7077033
1409	0.7059146
1410	0.7039884
1411	0.7019229
1412	0.6997154
1413	0.6973639
1414	0.6948652
1415	0.6922171
1416	0.6893957
1417	0.6864112
1418	0.6832643
1419	0.6799518
1420	0.6764691
1421	0.6728382
1422	0.6690374
1423	0.6650571
1424	0.6608921
1425	0.6565372
1426	0.6519882
1427	0.6472387
1428	0.6422845
1429	0.6371187
1430	0.6317367
1431	0.6261311
1432	0.620297
1433	0.6142269
1434	0.6079154
1435	0.6013547
1436	0.5945393
1437	0.587461
1438	0.5801145
1439	0.5724912
1440	0.5645859
1441	0.556391
1442	0.5478989
1443	0.5391048
1444	0.5300007
1445	0.5205825
1446	0.5108426
1447	0.500778
1448	0.4903821
1449	0.4796534
1450	0.4685866
1451	0.4571824
1452	0.4454373
1453	0.4333546
1454	0.4209337
1455	0.408181
1456	0.3951269
1457	0.3817597
1458	0.368086
1459	0.3541154
1460	0.3398666
1461	0.3253933
1462	0.3106933
1463	0.2957789
1464	0.2806824
1465	0.2654333
1466	0.2500009
1467	0.2344755
1468	0.2189245
1469	0.2033952
1470	0.1879459
1471	0.1726342
1472	0.1575217
1473	0.1426788
1474	0.1281726
1475	0.1140791
1476	0.1005576
1477	0.0876133
1478	0.0752959
1479	0.0636825
1480	0.0528439
1481	0.0428529
1482	0.0337745
1483	0.025673
1484	0.0186033
1485	0.012617
1486	0.0077268
1487	0.0040063
1488	0.0014894
1489	0.0001916
1490	0.0001188
1491	0.0012548
1492	0.003576
1493	0.00706
1494	0.0116735
1495	0.0173768
1496	0.0241205
1497	0.0318511
1498	0.0405069
1499	0.0500249
1500	0.0603349
1501	0.0714431
1502	0.0832284
1503	0.0956
1504	0.1084858
1505	0.1218104
1506	0.1354163
1507	0.1492962
1508	0.1634122
1509	0.1777012
1510	0.1921104
1511	0.2065842
1512	0.2210777
1513	0.2355434
1514	0.2499441
1515	0.2642405
1516	0.2783756
1517	0.2923388
1518	0.3061137
1519	0.3196797
1520	0.3330151
1521	0.3461576
1522	0.3590505
1523	0.3716723
1524	0.3840114
1525	0.3960638
1526	0.4077612
1527	0.4191517
1528	0.4302464
1529	0.4410471
1530	0.4515518
1531	0.4617642
1532	0.4716845
1533	0.4813179
1534	0.4906657
1535	0.4997333
1536	0.5085543
1537	0.5171087
1538	0.5253964
1539	0.5334211
1540	0.5411903
1541	0.5487082
1542	0.5559823
1543	0.5630171
1544	0.5698202
1545	0.5763959
1546	0.5827117
1547	0.5888053
1548	0.594694
1549	0.6003821
1550	0.6058758
1551	0.6112145
1552	0.6163745
1553	0.6213533
1554	0.6261551
1555	0.6307858
1556	0.6352493
1557	0.6395512
1558	0.6436951
1559	0.6476862
1560	0.651528
1561	0.6552028
1562	0.6587327
1563	0.662128
1564	0.6653918
1565	0.6685277
1566	0.6715394
1567	0.6744294
1568	0.6772014
1569	0.6798577
1570	0.6824018
1571	0.6848501
1572	0.6871933
1573	0.6894297
1574	0.6915621
1575	0.6935925
1576	0.6955125
1577	0.6973335
1578	0.6990607
1579	0.7006956
1580	0.7022403
1581	0.7036961
1582	0.7050648
1583	0.706348
1584	0.7075469
1585	0.7086631
1586	0.7097024
1587	0.7106613
1588	0.7115394
1589	0.712338
1590	0.7130578
1591	0.7136978
1592	0.7142615
1593	0.7147504
1594	0.7151651
1595	0.7155062
1596	0.7157744
1597	0.7159701
1598	0.7160937
1599	0.7161457
1600	0.7161263
1601	0.7160357
1602	0.7158743
1603	0.7156421
1604	0.7153391
1605	0.7149656
1606	0.7145213
1607	0.7140063
1608	0.7134203
1609	0.7127633
1610	0.7120348
1611	0.7112348
1612	0.7103627
1613	0.7094182
1614	0.7084008
1615	0.7073099
1616	0.7061452
1617	0.7049057
1618	0.7035911
1619	0.7022003
1620	0.7007328
1621	0.6991875
1622	0.6975638
1623	0.6958604
1624	0.6940766
1625	0.692211
1626	0.6902629
1627	0.6882306
1628	0.6861134
1629	0.6839097
1630	0.6816179
1631	0.6792371
1632	0.6767654
1633	0.6742016
1634	0.6715438
1635	0.6687907
1636	0.6659635
1637	0.6630453
1638	0.6600277
1639	0.6569098
1640	0.653689
1641	0.6503365
1642	0.6468685
1643	0.6432901
1644	0.6395988
1645	0.6357919
1646	0.6318681
1647	0.627824
1648	0.6236583
1649	0.6193675
1650	0.6149502
1651	0.6104392
1652	0.605808
1653	0.6010443
1654	0.5961464
1655	0.5911108
1656	0.5858944
1657	0.5805223
1658	0.575003
1659	0.5693333
1660	0.56351
1661	0.557579
1662	0.5515037
1663	0.5452715
1664	0.5388785
1665	0.5323238
1666	0.5255556
1667	0.5186067
1668	0.5114853
1669	0.5041911
1670	0.4967208
1671	0.4891225
1672	0.4813596
1673	0.4734211
1674	0.4653043
1675	0.4570106
1676	0.4484786
1677	0.43975
1678	0.4308421
1679	0.4217541
1680	0.4124896
1681	0.4031224
1682	0.3936049
1683	0.3839202
1684	0.3740741
1685	0.3640693
1686	0.3538332
1687	0.3434273
1688	0.3328808
1689	0.3221995
1690	0.3113948
1691	0.3005606
1692	0.2896448
1693	0.2786409
1694	0.2675595
1695	0.2564173
1696	0.2452272
1697	0.2340083
1698	0.2227756
1699	0.2115508
1700	0.2003515
1701	0.1892013
1702	0.1781202
1703	0.1671342
1704	0.1562654
1705	0.1455417
1706	0.1349066
1707	0.1244511
1708	0.1142265
1709	0.1042598
1710	0.0945824
1711	0.0852928
1712	0.076363
1713	0.0678014
1714	0.0596378
1715	0.0518981
1716	0.0446104
1717	0.0377989
1718	0.0314893
1719	0.025703
1720	0.0204626
1721	0.0157861
1722	0.0116917
1723	0.0081939
1724	0.0053048
1725	0.0030353
1726	0.0013923
1727	0.0003809
1728	2.9e-06
1729	0.000258
1730	0.0011426
1731	0.0026506
1732	0.0047738
1733	0.0075004
1734	0.0108176
1735	0.014709
1736	0.0191575
1737	0.0241425
1738	0.029643
1739	0.0356369
1740	0.0420986
1741	0.0490043
1742	0.0563263
1743	0.0640396
1744	0.072115
1745	0.080527
1746	0.0892462
1747	0.0982469
1748	0.1075001
1749	0.116981
1750	0.1266614
1751	0.1365176
1752	0.1465229
1753	0.1566544
1754	0.1668902
1755	0.1772061
1756	0.1875833
1757	0.1979997
1758	0.2084388
1759	0.2188805
1760	0.2293107
1761	0.2397115
1762	0.2500707
1763	0.2603729
1764	0.270608
1765	0.2807624
1766	0.2908282
1767	0.3007937
1768	0.3106526
1769	0.3203953
1770	0.3300161
1771	0.3394372
1772	0.3487083
1773	0.3578453
1774	0.3668424
1775	0.3756983
1776	0.3844754
1777	0.3931203
1778	0.4016124
1779	0.4099521
1780	0.4181366
1781	0.4261672
1782	0.4340418
1783	0.4417623
1784	0.4493272
1785	0.4567382
1786	0.4639968
1787	0.4711024
1788	0.4780579
1789	0.4848632
1790	0.4915214
1791	0.4979834
1792	0.5042919
1793	0.5104599
1794	0.5164908
1795	0.5223851
1796	0.5281899
1797	0.533871
1798	0.5394206
1799	0.5448396
1800	0.5501309
1801	0.5552975
1802	0.5603402
1803	0.5652627
1804	0.570066
1805	0.5747534
1806	0.5793262
1807	0.5837875
1808	0.5881387
1809	0.5923828
1810	0.596521
1811	0.6005265
1812	0.6044247
1813	0.6082261
1814	0.6119319
1815	0.6155447
1816	0.6190918
1817	0.6225542
1818	0.6259275
1819	0.6292128
1820	0.6324126
1821	0.6355052
1822	0.6385115
1823	0.6414383
1824	0.6442879
1825	0.6470611
1826	0.6497797
1827	0.6524286
1828	0.6550047
1829	0.657509
1830	0.6599433
1831	0.6623001
1832	0.6645879
1833	0.6668104
1834	0.6689684
1835	0.6710634
1836	0.6730962
1837	0.6750684
1838	0.6769807
1839	0.6788345
1840	0.6806305
1841	0.6823759
1842	0.6840665
1843	0.685702
1844	0.687283
1845	0.6888107
1846	0.6902759
1847	0.6916879
1848	0.69305
1849	0.6943629
1850	0.6956275
1851	0.6968519
1852	0.6980305
1853	0.6991617
1854	0.7002463
1855	0.7012847
1856	0.702272
1857	0.7032136
1858	0.7041119
1859	0.7049673
1860	0.7057804
1861	0.7065556
1862	0.7072897
1863	0.7079818
1864	0.7086326
1865	0.7092424
1866	0.7098092
1867	0.7103359
