Wavelength (nm)	Reflectance
200	0.7266959
201	0.7267591
202	0.7267506
203	0.7266718
204	0.7265245
205	0.726313
206	0.7260446
207	0.7257258
208	0.7253663
209	0.7249766
210	0.7245691
211	0.7241526
212	0.7237416
213	0.7233549
214	0.723002
215	0.7226933
216	0.7224399
217	0.7222408
218	0.7220915
219	0.7219684
220	0.7218419
221	0.7216749
222	0.7214197
223	0.7210116
224	0.7203216
225	0.7193427
226	0.7180504
227	0.7164352
228	0.7144929
229	0.7121571
230	0.7095515
231	0.7068157
232	0.7040284
233	0.7012502
234	0.6987472
235	0.6966216
236	0.694943
237	0.6938772
238	0.6937711
239	0.6943809
240	0.6956826
241	0.6979079
242	0.7007631
243	0.703968
244	0.707445
245	0.7109579
246	0.7143375
247	0.7175585
248	0.7204095
249	0.7230591
250	0.7255167
251	0.7277081
252	0.7298207
253	0.7318533
254	0.7339069
255	0.7360149
256	0.7382213
257	0.7406967
258	0.743316
259	0.7463254
260	0.7496205
261	0.7530794
262	0.75574
263	0.7583699
264	0.7611506
265	0.7639669
266	0.7663515
267	0.7686554
268	0.7704884
269	0.7721916
270	0.7734175
271	0.774011
272	0.7742485
273	0.7739513
274	0.7731305
275	0.7719018
276	0.7703763
277	0.7686152
278	0.76663
279	0.7644538
280	0.7622388
281	0.7599199
282	0.7575605
283	0.7552228
284	0.7528475
285	0.7502497
286	0.7471225
287	0.7435824
288	0.738684
289	0.7330084
290	0.726349
291	0.7193461
292	0.71217
293	0.7051307
294	0.6983288
295	0.6918455
296	0.6858379
297	0.6801788
298	0.6749279
299	0.6701003
300	0.6655696
301	0.6613313
302	0.6573905
303	0.6537564
304	0.6503355
305	0.6471393
306	0.6441345
307	0.6413207
308	0.6387038
309	0.6362872
310	0.6339799
311	0.6318676
312	0.6299012
313	0.6280862
314	0.6263687
315	0.6247632
316	0.6232839
317	0.6219034
318	0.6206352
319	0.6194468
320	0.6183477
321	0.6172958
322	0.6162937
323	0.6153607
324	0.6145202
325	0.6137429
326	0.6129647
327	0.6122452
328	0.6115995
329	0.6109933
330	0.6104346
331	0.6099463
332	0.6095048
333	0.6090976
334	0.6087285
335	0.6084331
336	0.6082187
337	0.6080449
338	0.6079084
339	0.60781
340	0.6077864
341	0.607878
342	0.6080093
343	0.60821
344	0.6085111
345	0.6089171
346	0.609425
347	0.6100547
348	0.6108119
349	0.6116969
350	0.612728
351	0.6138845
352	0.6152329
353	0.6168086
354	0.6185536
355	0.6204737
356	0.6224908
357	0.6246028
358	0.6267793
359	0.6287835
360	0.6306468
361	0.6322013
362	0.6334596
363	0.6342853
364	0.6345767
365	0.634371
366	0.6335356
367	0.632193
368	0.630339
369	0.6281805
370	0.6255414
371	0.6226986
372	0.6195219
373	0.6161674
374	0.6125479
375	0.6087724
376	0.6049444
377	0.6009851
378	0.5971616
379	0.5934023
380	0.5897128
381	0.5861184
382	0.5825437
383	0.5790634
384	0.5757769
385	0.5724613
386	0.5694022
387	0.5663241
388	0.5633767
389	0.5605274
390	0.5576879
391	0.5550644
392	0.5524172
393	0.549912
394	0.5474711
395	0.5450508
396	0.5428269
397	0.5405852
398	0.5384575
399	0.5363909
400	0.5343173
401	0.532375
402	0.5304194
403	0.5285337
404	0.5267297
405	0.5249137
406	0.5231538
407	0.5213947
408	0.5196472
409	0.5180078
410	0.5163594
411	0.5147536
412	0.5131981
413	0.5116367
414	0.5101619
415	0.5087088
416	0.5072441
417	0.5058741
418	0.5045074
419	0.5031401
420	0.5018353
421	0.5005296
422	0.4992689
423	0.4980742
424	0.4968415
425	0.4955852
426	0.494384
427	0.4932435
428	0.4921347
429	0.4909806
430	0.4897497
431	0.4885885
432	0.4875822
433	0.4866441
434	0.4856334
435	0.4844855
436	0.4833089
437	0.4822701
438	0.481425
439	0.4806878
440	0.4798202
441	0.4786573
442	0.4773342
443	0.4762007
444	0.4755092
445	0.4752113
446	0.474901
447	0.473889
448	0.472303
449	0.4706889
450	0.4695078
451	0.469121
452	0.4695476
453	0.4699172
454	0.4690877
455	0.4670513
456	0.4645912
457	0.4628572
458	0.4624144
459	0.4631182
460	0.4640889
461	0.4643176
462	0.4632883
463	0.4611802
464	0.4588272
465	0.4571338
466	0.4565799
467	0.4568239
468	0.4580177
469	0.4594597
470	0.4597496
471	0.4579064
472	0.4547812
473	0.4514984
474	0.4482097
475	0.4457377
476	0.4464378
477	0.452299
478	0.4593481
479	0.4626148
480	0.4610204
481	0.4558342
482	0.4477545
483	0.4378736
484	0.4297505
485	0.4282299
486	0.4341514
487	0.4450988
488	0.4571324
489	0.465672
490	0.4679267
491	0.4629282
492	0.451553
493	0.4368721
494	0.4223564
495	0.4128973
