Wavelength (nm)	Reflectance
1260	0.5024434
1261	0.4810334
1262	0.4638253
1263	0.45168
1264	0.4437425
1265	0.4390486
1266	0.4370959
1267	0.4378755
1268	0.4420028
1269	0.4509521
1270	0.4674278
1271	0.4954159
1272	0.5285889
1273	0.5395168
1274	0.5143987
1275	0.4790355
1276	0.453948
1277	0.4395815
1278	0.4326169
1279	0.4313229
1280	0.4359133
1281	0.448546
1282	0.474344
1283	0.5158136
1284	0.5473826
1285	0.5290355
1286	0.4817568
1287	0.448091
1288	0.4316406
1289	0.426302
1290	0.4302173
1291	0.4467095
1292	0.4849476
1293	0.5403576
1294	0.5463039
1295	0.491464
1296	0.4486657
1297	0.4283236
1298	0.4220657
1299	0.4272726
1300	0.44852
1301	0.4998135
1302	0.5570093
1303	0.5290208
1304	0.4638521
1305	0.429345
1306	0.4184271
1307	0.4242173
1308	0.4532201
1309	0.520077
1310	0.5634445
1311	0.5021045
1312	0.4413105
1313	0.4176767
1314	0.4168326
1315	0.4399195
1316	0.5053444
1317	0.5683179
1318	0.5103152
1319	0.440027
1320	0.4139567
1321	0.4151401
1322	0.4470814
1323	0.5298855
1324	0.566269
1325	0.4797341
1326	0.4215835
1327	0.4086017
1328	0.429022
1329	0.5062035
1330	0.5749067
1331	0.4909516
1332	0.4225035
1333	0.4056392
1334	0.424296
1335	0.501118
1336	0.57874
1337	0.4935221
1338	0.4192949
1339	0.4029925
1340	0.4281746
1341	0.5253229
1342	0.5717639
1343	0.4588168
1344	0.4049292
1345	0.4071448
1346	0.4710427
1347	0.5816109
1348	0.5067024
1349	0.4152141
1350	0.3985471
1351	0.4384885
1352	0.559989
1353	0.5465445
1354	0.4284063
1355	0.3953983
1356	0.4239612
1357	0.5457116
1358	0.5590921
1359	0.4297833
1360	0.3930558
