Wavelength (nm)	Reflectance
1260	0.6485405
1261	0.6839483
1262	0.7065249
1263	0.7186929
1264	0.7217618
1265	0.7160883
1266	0.7011372
1267	0.6754249
1268	0.6363509
1269	0.5800305
1270	0.5014796
1271	0.3964515
1272	0.2657175
1273	0.1264431
1274	0.0225386
1275	0.0062865
1276	0.0872224
1277	0.2206193
1278	0.3560848
1279	0.4689304
1280	0.5547384
1281	0.617288
1282	0.6614426
1283	0.6914163
1284	0.7102023
1285	0.7196856
1286	0.7208373
1287	0.7138951
1288	0.6982537
1289	0.6724834
1290	0.6341847
1291	0.5798835
1292	0.505148
1293	0.4058503
1294	0.2821151
1295	0.1472323
1296	0.0367145
1297	0.0008273
1298	0.0596556
1299	0.1807461
1300	0.314994
1301	0.4320111
1302	0.5239099
1303	0.5925219
1304	0.6422203
1305	0.6771923
1306	0.7006095
1307	0.7146342
1308	0.7205515
1309	0.7189187
1310	0.7096301
1311	0.6919096
1312	0.664242
1313	0.6242333
1314	0.5685525
1315	0.4931398
1316	0.3944983
1317	0.2735842
1318	0.1435842
1319	0.037807
1320	0.0002638
1321	0.0502632
1322	0.1618546
1323	0.2910178
1324	0.4080647
1325	0.5024563
1326	0.5740074
1327	0.6268561
1328	0.6649957
1329	0.6915448
1330	0.7087479
1331	0.7180818
1332	0.720222
1333	0.7153559
1334	0.703124
1335	0.682563
1336	0.6520316
1337	0.6090881
1338	0.550498
1339	0.4725669
1340	0.3726877
1341	0.2539483
1342	0.130273
1343	0.0329298
1344	0.0004263
1345	0.0482653
1346	0.1537113
1347	0.2776603
1348	0.3922643
1349	0.4865378
1350	0.5596774
1351	0.6146878
1352	0.6550726
1353	0.68385
1354	0.703291
1355	0.7149277
1356	0.7196769
1357	0.717979
1358	0.7097445
1359	0.6943949
1360	0.6708128
