Wavelength (nm)	Reflectance
1000	0.3078331
1001	0.3639465
1002	0.4154157
1003	0.4617555
1004	0.5029315
1005	0.5391662
1006	0.5708375
1007	0.5983641
1008	0.6221808
1009	0.6426872
1010	0.6602532
1011	0.6751967
1012	0.6877976
1013	0.6982874
1014	0.7068633
1015	0.7136824
1016	0.7188726
1017	0.7225301
1018	0.7247254
1019	0.7255032
1020	0.7248845
1021	0.7228668
1022	0.7194255
1023	0.7145115
1024	0.7080534
1025	0.699952
1026	0.6900844
1027	0.6782949
1028	0.6644017
1029	0.6481848
1030	0.6293975
1031	0.6077532
1032	0.5829453
1033	0.5546414
1034	0.5225064
1035	0.4862441
1036	0.4456213
1037	0.4005715
1038	0.3512638
1039	0.2982752
1040	0.2427056
1041	0.18637
1042	0.1318374
1043	0.0824139
1044	0.0418109
1045	0.0136427
1046	0.0006915
1047	0.0042823
1048	0.0239407
1049	0.0575216
1050	0.1017516
1051	0.1556709
1052	0.2139035
1053	0.2724172
1054	0.3287495
1055	0.3813721
1056	0.426524
1057	0.4668053
1058	0.503035
1059	0.5353933
1060	0.5641299
1061	0.5895398
1062	0.6119234
1063	0.6315775
1064	0.6487673
1065	0.6637385
1066	0.6767045
1067	0.687854
1068	0.6973527
1069	0.7053369
1070	0.7119243
1071	0.717206
1072	0.7212625
1073	0.7241539
1074	0.7259247
1075	0.7266038
1076	0.7262029
1077	0.7247255
1078	0.7221593
1079	0.7184784
1080	0.7136422
1081	0.7075919
1082	0.7002607
1083	0.691561
1084	0.6813909
1085	0.6696265
1086	0.6561945
1087	0.6409029
1088	0.6235638
1089	0.6039787
1090	0.5819418
1091	0.5571285
1092	0.5293749
1093	0.4984907
1094	0.4643147
1095	0.4267451
1096	0.3859315
1097	0.3420082
1098	0.2953994
1099	0.2469028
1100	0.1977011
1101	0.1494889
1102	0.1042875
1103	0.0644767
1104	0.0325227
1105	0.0106772
1106	0.0005914
1107	0.0030316
1108	0.0177238
1109	0.0434125
1110	0.0781154
1111	0.1194475
1112	0.1649903
1113	0.2125497
1114	0.2602969
1115	0.3068597
1116	0.3512635
1117	0.3929111
1118	0.4314689
1119	0.4668274
1120	0.4990053
1121	0.5281278
1122	0.5543625
1123	0.5779159
1124	0.598993
1125	0.6178056
1126	0.6345453
1127	0.6493975
1128	0.66253
1129	0.6740887
1130	0.6842082
1131	0.6929658
1132	0.7005036
1133	0.7069159
1134	0.7122765
1135	0.7166448
1136	0.7200834
1137	0.7226127
1138	0.7242597
1139	0.7250454
1140	0.7249825
1141	0.724083
1142	0.7223454
1143	0.7197567
1144	0.7162959
1145	0.7119334
1146	0.7066318
