Wavelength (nm)	Reflectance
1024	0.6733098
1025	0.6792691
1026	0.6847979
1027	0.6899176
1028	0.6946461
1029	0.6990019
1030	0.703
1031	0.7066562
1032	0.709983
1033	0.7129934
1034	0.7156986
1035	0.7181083
1036	0.720232
1037	0.7220774
1038	0.7236521
1039	0.7249621
1040	0.726013
1041	0.7268093
1042	0.7273549
1043	0.7276528
1044	0.7277054
1045	0.7275142
1046	0.72708
1047	0.7264031
1048	0.7254827
1049	0.7243179
1050	0.7229066
1051	0.7211137
1052	0.7190042
1053	0.7166022
1054	0.7139021
1055	0.7108966
1056	0.7078328
1057	0.704557
1058	0.701004
1059	0.6971649
1060	0.6930318
1061	0.6885921
1062	0.6838382
1063	0.6787586
1064	0.6733426
1065	0.6675771
1066	0.6614465
1067	0.6549392
1068	0.6480394
1069	0.640733
1070	0.633002
1071	0.6248295
1072	0.6161972
1073	0.6070892
1074	0.5974849
1075	0.5873672
1076	0.5767132
1077	0.565507
1078	0.5537278
1079	0.5413594
1080	0.5283831
1081	0.5147794
1082	0.5005377
1083	0.485643
1084	0.4700888
1085	0.4538661
1086	0.4370565
1087	0.4196078
1088	0.4015151
1089	0.3827925
1090	0.3634706
1091	0.343505
1092	0.3230015
1093	0.3020356
1094	0.2806874
1095	0.2590431
1096	0.2372748
1097	0.2154587
1098	0.1937169
1099	0.1722098
1100	0.1511048
1101	0.1306104
1102	0.1109041
1103	0.0921902
1104	0.0746739
1105	0.0585675
1106	0.04407
1107	0.0313753
1108	0.0206537
1109	0.0120567
1110	0.005703
1111	0.001681
1112	4.08e-05
1113	0.0007951
1114	0.0039179
1115	0.0093464
1116	0.0169814
1117	0.0266957
1118	0.0383325
1119	0.0517189
1120	0.0666621
1121	0.0829664
1122	0.1004262
1123	0.1188442
1124	0.1380217
1125	0.1577769
1126	0.1779319
1127	0.1983291
1128	0.2188263
1129	0.2392903
1130	0.2596125
1131	0.2795982
1132	0.2992421
1133	0.3184954
1134	0.3373065
