Wavelength (nm)	Reflectance
1260	0.4718092
1261	0.4718033
1262	0.471797
1263	0.4717906
1264	0.4717842
1265	0.4717777
1266	0.4717693
1267	0.4717603
1268	0.4717513
1269	0.4717423
1270	0.4717332
1271	0.4717243
1272	0.4717153
1273	0.4717063
1274	0.4716973
1275	0.4716882
1276	0.4716773
1277	0.471666
1278	0.4716546
1279	0.4716432
1280	0.4716318
1281	0.4716185
1282	0.4716046
1283	0.4715907
1284	0.4715768
1285	0.4715629
1286	0.4715505
1287	0.4715384
1288	0.4715263
1289	0.4715141
1290	0.471502
1291	0.4714887
1292	0.4714752
1293	0.4714616
1294	0.471448
1295	0.4714344
1296	0.471418
1297	0.4714007
1298	0.4713835
1299	0.4713663
1300	0.4713491
1301	0.4713335
1302	0.4713184
1303	0.4713033
1304	0.4712881
1305	0.471273
1306	0.4712572
1307	0.4712413
1308	0.4712253
1309	0.4712094
1310	0.4711934
1311	0.471177
1312	0.4711604
1313	0.4711439
1314	0.4711273
1315	0.4711107
1316	0.4710937
1317	0.4710767
1318	0.4710596
1319	0.4710425
1320	0.4710254
1321	0.471008
1322	0.4709905
1323	0.470955
1324	0.4707009
1325	0.4709506
1326	0.4721833
1327	0.47437
1328	0.4749796
1329	0.4730041
1330	0.4707298
1331	0.4688424
1332	0.4675987
1333	0.4668877
1334	0.4666927
1335	0.4671643
1336	0.4686483
1337	0.4717194
1338	0.4767175
1339	0.4821019
1340	0.4836096
1341	0.481088
1342	0.477362
1343	0.4736823
1344	0.4705906
1345	0.4680886
1346	0.4658793
1347	0.4641016
1348	0.4626916
1349	0.4615696
1350	0.4606566
1351	0.4598825
1352	0.4592472
1353	0.4587297
1354	0.4582979
1355	0.4579256
1356	0.4575475
1357	0.4571482
1358	0.4567335
1359	0.4563038
1360	0.4558702
