Wavelength (nm)	Reflectance
1260	0.3941849
1261	0.6057437
1262	0.3103652
1263	0.6570546
1264	0.2536134
1265	0.6830206
1266	0.2323425
1267	0.6837397
1268	0.2517369
1269	0.6558597
1270	0.3191058
1271	0.5891308
1272	0.4378934
1273	0.4741061
1274	0.5642126
1275	0.3416285
1276	0.6492572
1277	0.2512052
1278	0.6855813
1279	0.227422
1280	0.677725
1281	0.277431
1282	0.6209313
1283	0.4019039
1284	0.5021948
1285	0.5521599
1286	0.3435779
1287	0.655734
1288	0.2366366
1289	0.6888819
1290	0.2343614
1291	0.6566276
1292	0.3472895
1293	0.5418231
1294	0.5310283
1295	0.3565791
1296	0.6534542
1297	0.2342073
1298	0.6896928
1299	0.2330342
1300	0.6529517
1301	0.3670559
1302	0.5148597
1303	0.5678044
1304	0.3101165
1305	0.6756676
1306	0.2145255
1307	0.6814872
1308	0.2916929
1309	0.5818159
1310	0.5074438
1311	0.3663834
1312	0.6597265
1313	0.2180058
1314	0.6879393
1315	0.2679453
1316	0.5996886
1317	0.4928244
1318	0.3749463
1319	0.6601413
1320	0.2136868
1321	0.6867395
1322	0.2818271
1323	0.5798229
1324	0.5292152
1325	0.3311188
1326	0.6777985
1327	0.2054324
1328	0.6696112
1329	0.3652654
1330	0.4865689
1331	0.6172397
1332	0.2384944
1333	0.6925377
1334	0.242827
1335	0.6102991
1336	0.5036481
1337	0.3464647
1338	0.6769037
1339	0.2004317
1340	0.6684058
1341	0.3850561
1342	0.455871
1343	0.6439852
1344	0.2077023
1345	0.6863577
1346	0.3156596
1347	0.5224284
1348	0.6102348
1349	0.2303403
1350	0.692877
1351	0.269752
1352	0.5656091
1353	0.5800138
1354	0.2541836
1355	0.6940088
1356	0.2474357
1357	0.5827821
1358	0.5703361
1359	0.2569602
1360	0.6943517
