Wavelength (nm)	Reflectance
20	0.7106852
21	0.7106852
22	0.7106852
23	0.7106852
24	0.7106852
25	0.7106852
26	0.7106852
27	0.7106852
28	0.7106852
29	0.7106852
30	0.7106852
31	0.7106852
32	0.7106852
33	0.7106852
34	0.7106852
35	0.7106852
36	0.7106852
37	0.7106852
38	0.7106852
39	0.7106852
40	0.7106852
41	0.7106852
42	0.7106852
43	0.7106852
44	0.7106852
45	0.7106852
46	0.7106852
47	0.7106852
48	0.7106852
49	0.7106852
50	0.7106852
51	0.7106852
52	0.7106852
53	0.7106852
54	0.7106852
55	0.7106852
56	0.7106852
57	0.7106852
58	0.7106852
59	0.7106852
60	0.7106852
61	0.7106852
62	0.7106852
63	0.7106852
64	0.7106852
65	0.7106852
66	0.7106852
67	0.7106852
68	0.7106852
69	0.7106852
70	0.7106852
71	0.7106852
72	0.7106852
73	0.7106852
74	0.7106852
75	0.7106852
76	0.7106852
77	0.7106852
78	0.7106852
79	0.7106852
80	0.7106852
81	0.7106852
82	0.7106852
83	0.7106852
84	0.7106852
85	0.7106852
86	0.7106852
87	0.7106852
88	0.7106852
89	0.7106852
90	0.7106852
91	0.7106852
92	0.7106852
93	0.7106852
94	0.7106852
95	0.7106852
96	0.7106852
97	0.7106852
98	0.7106852
99	0.7106852
100	0.7106852
101	0.7106852
102	0.7106852
103	0.7106852
104	0.7106852
105	0.7106852
106	0.7106852
107	0.7106852
108	0.7106852
109	0.7106852
110	0.7106852
111	0.7106852
112	0.7106852
113	0.7106852
114	0.7106852
115	0.7106852
116	0.7106852
117	0.7106852
118	0.7106852
119	0.7106852
120	0.7106852
121	0.7106852
122	0.7106852
123	0.7106852
124	0.7106852
125	0.7106852
126	0.7106852
127	0.7106852
128	0.7106852
129	0.7106852
130	0.7106852
131	0.7106852
132	0.7106852
133	0.7106852
134	0.7106852
135	0.7106852
136	0.7106852
137	0.7106852
138	0.7106852
139	0.7106852
140	0.7106852
141	0.7106852
142	0.7106852
143	0.7106852
144	0.7106852
145	0.7106852
146	0.7106852
147	0.7106852
148	0.7106852
149	0.7106852
150	0.7106852
151	0.7106852
152	0.7106852
153	0.7106852
154	0.7106852
155	0.7106852
156	0.7106852
157	0.7106852
158	0.7106852
159	0.7106852
160	0.7106852
161	0.7106852
162	0.7106852
163	0.7106852
164	0.7106852
165	0.7106852
166	0.7106852
167	0.7106852
168	0.7106852
169	0.7106852
170	0.7106852
171	0.7106852
172	0.7079257
173	0.7043918
174	0.7011195
175	0.6981065
176	0.6954182
177	0.692983
178	0.6908647
179	0.6890256
180	0.6874696
181	0.6861764
182	0.6851729
183	0.684405
184	0.683863
185	0.6835268
186	0.6833838
187	0.6834127
188	0.6835774
189	0.6838586
190	0.6842298
191	0.6846722
192	0.6851531
193	0.685658
194	0.6861643
195	0.6866549
196	0.687112
197	0.6875189
198	0.6878675
199	0.6881508
200	0.6883623
201	0.6884948
202	0.6885469
203	0.6885197
204	0.6884156
205	0.688239
206	0.6879983
207	0.6877004
208	0.6873562
209	0.6869773
210	0.6865773
211	0.6861663
212	0.6857604
213	0.6853798
214	0.6850357
215	0.6847395
216	0.6845034
217	0.6843272
218	0.6842054
219	0.6841125
220	0.6840162
221	0.6838755
222	0.6836381
223	0.683232
224	0.6825158
225	0.6814811
226	0.6801007
227	0.6783639
228	0.6762664
229	0.6737343
230	0.6709039
231	0.6679289
232	0.6648954
233	0.6618698
234	0.6591419
235	0.6568252
236	0.6549954
237	0.6538335
238	0.6537195
239	0.6543887
240	0.655816
241	0.6582581
242	0.6613959
243	0.6649232
244	0.6687559
245	0.6726367
246	0.6763762
247	0.679946
248	0.6831133
249	0.6860608
250	0.6887984
251	0.6912435
252	0.693602
253	0.6958722
254	0.6981659
255	0.7005197
256	0.7029825
257	0.7057435
