Wavelength (nm)	Reflectance
1260	0.6930063
1261	0.377556
1262	0.1431545
1263	0.6129442
1264	0.7112766
1265	0.5129449
1266	0.0838761
1267	0.5154221
1268	0.7113247
1269	0.6149797
1270	0.1492712
1271	0.3578794
1272	0.6867125
1273	0.6807002
1274	0.3327657
1275	0.1647944
1276	0.6215557
1277	0.7110253
1278	0.5195443
1279	0.0817174
1280	0.4896733
1281	0.7078062
1282	0.6397473
1283	0.2055763
1284	0.2783079
1285	0.6645387
1286	0.6998607
1287	0.4416189
1288	0.0897791
1289	0.5457418
1290	0.7124153
1291	0.6173511
1292	0.167581
1293	0.3096738
1294	0.6702359
1295	0.69827
1296	0.4362923
1297	0.0887767
1298	0.545215
1299	0.7121839
1300	0.6215473
1301	0.1801525
1302	0.2858037
1303	0.6612957
1304	0.7036416
1305	0.4786002
1306	0.0751573
1307	0.4940079
1308	0.7056041
1309	0.6573895
1310	0.2787574
1311	0.1788332
1312	0.6171423
1313	0.7132028
1314	0.5712217
1315	0.1133784
1316	0.3625561
1317	0.678946
1318	0.6961156
1319	0.4442317
1320	0.0760005
1321	0.5085571
1322	0.7063953
1323	0.6591069
1324	0.2944926
1325	0.1541972
1326	0.5980635
1327	0.7140016
1328	0.6093282
1329	0.1761425
1330	0.2598461
1331	0.6457569
1332	0.7106238
1333	0.5479896
1334	0.0961787
1335	0.3721311
1336	0.6778019
1337	0.6995853
1338	0.4756967
1339	0.0676542
1340	0.4568747
1341	0.6952101
1342	0.6858838
1343	0.4150224
1344	0.0730723
1345	0.5010671
1346	0.7027821
1347	0.6745231
1348	0.3704372
1349	0.0884485
1350	0.5315342
1351	0.7071928
1352	0.6646474
1353	0.3372399
1354	0.103964
1355	0.5495862
1356	0.709152
1357	0.659932
1358	0.3271175
1359	0.1057457
1360	0.5485066
