Wavelength (nm)	Reflectance
1260	0.6925917
1261	0.2104349
1262	0.5922462
1263	0.6092226
1264	0.1959604
1265	0.6870904
1266	0.4181028
1267	0.3701805
1268	0.695071
1269	0.2216664
1270	0.5705333
1271	0.6336846
1272	0.1762916
1273	0.6707061
1274	0.4968979
1275	0.2820523
1276	0.7005714
1277	0.3105239
1278	0.4654887
1279	0.681456
1280	0.1860211
1281	0.6065574
1282	0.6119405
1283	0.1811729
1284	0.678443
1285	0.4835027
1286	0.2835453
1287	0.7007633
1288	0.3360929
1289	0.4255167
1290	0.6929657
1291	0.2193595
1292	0.5478994
1293	0.6605823
1294	0.16618
1295	0.6276474
1296	0.6014131
1297	0.1779239
1298	0.6768191
1299	0.5078582
1300	0.2508366
1301	0.6980802
1302	0.4030512
1303	0.3444296
1304	0.7018616
1305	0.308111
1306	0.4371535
1307	0.6950274
1308	0.2340267
1309	0.5137783
1310	0.6802712
1311	0.186051
1312	0.5705771
1313	0.6596891
1314	0.1614687
1315	0.6105809
1316	0.6353934
1317	0.1544138
1318	0.6380759
1319	0.6095778
1320	0.1588303
1321	0.6565922
1322	0.584503
1323	0.1692787
1324	0.6688395
1325	0.5624593
1326	0.1794456
1327	0.6742464
1328	0.5554107
1329	0.1815954
1330	0.6752504
1331	0.5528645
1332	0.1837243
1333	0.6773867
1334	0.5491121
1335	0.1842551
1336	0.6773555
1337	0.5520977
1338	0.1799185
1339	0.6749132
1340	0.5616557
1341	0.1696859
1342	0.6669823
1343	0.5856968
1344	0.1544748
1345	0.6524826
1346	0.6117049
1347	0.1450068
1348	0.6334007
1349	0.6359441
1350	0.1448254
1351	0.6062317
1352	0.6583932
1353	0.158311
1354	0.5688397
1355	0.6778312
1356	0.1926647
1357	0.5120924
1358	0.6942556
1359	0.2580863
1360	0.4323531
