Wavelength (nm)	Reflectance
1024	0.7080534
1025	0.699952
1026	0.6900844
1027	0.6782949
1028	0.6644017
1029	0.6481848
1030	0.6293975
1031	0.6077532
1032	0.5829453
1033	0.5546414
1034	0.5225064
1035	0.4862441
1036	0.4456213
1037	0.4005715
1038	0.3512638
1039	0.2982752
1040	0.2427056
1041	0.18637
1042	0.1318374
1043	0.0824139
1044	0.0418109
1045	0.0136427
1046	0.0006915
1047	0.0042823
1048	0.0239407
1049	0.0575216
1050	0.1017516
1051	0.1556709
1052	0.2139035
1053	0.2724172
1054	0.3287495
1055	0.3813721
1056	0.426524
1057	0.4668053
1058	0.503035
1059	0.5353933
1060	0.5641299
1061	0.5895398
1062	0.6119234
1063	0.6315775
1064	0.6487673
1065	0.6637385
1066	0.6767045
1067	0.687854
1068	0.6973527
1069	0.7053369
1070	0.7119243
1071	0.717206
1072	0.7212625
1073	0.7241539
1074	0.7259247
1075	0.7266038
1076	0.7262029
1077	0.7247255
1078	0.7221593
1079	0.7184784
1080	0.7136422
1081	0.7075919
1082	0.7002607
1083	0.691561
1084	0.6813909
1085	0.6696265
1086	0.6561945
1087	0.6409029
1088	0.6235638
1089	0.6039787
1090	0.5819418
1091	0.5571285
1092	0.5293749
1093	0.4984907
1094	0.4643147
1095	0.4267451
1096	0.3859315
1097	0.3420082
1098	0.2953994
1099	0.2469028
1100	0.1977011
1101	0.1494889
1102	0.1042875
1103	0.0644767
1104	0.0325227
1105	0.0106772
1106	0.0005914
1107	0.0030316
1108	0.0177238
1109	0.0434125
1110	0.0781154
1111	0.1194475
1112	0.1649903
1113	0.2125497
1114	0.2602969
1115	0.3068597
1116	0.3512635
1117	0.3929111
1118	0.4314689
1119	0.4668274
1120	0.4990053
1121	0.5281278
1122	0.5543625
1123	0.5779159
1124	0.598993
1125	0.6178056
1126	0.6345453
1127	0.6493975
1128	0.66253
1129	0.6740887
1130	0.6842082
1131	0.6929658
1132	0.7005036
1133	0.7069159
1134	0.7122765
1135	0.7166448
1136	0.7200834
1137	0.7226127
1138	0.7242597
1139	0.7250454
1140	0.7249825
1141	0.724083
1142	0.7223454
1143	0.7197567
1144	0.7162959
1145	0.7119334
1146	0.7066318
1147	0.7003434
1148	0.6930128
1149	0.6845721
1150	0.6749459
1151	0.6640438
1152	0.6517689
1153	0.6380076
1154	0.6226407
1155	0.605532
1156	0.586543
1157	0.5655219
1158	0.5423238
1159	0.5168025
1160	0.4888265
1161	0.4583033
1162	0.4251777
1163	0.3894834
1164	0.3513463
1165	0.311053
1166	0.2690602
1167	0.226069
1168	0.1830203
1169	0.1411411
1170	0.1018839
1171	0.0668891
1172	0.0378293
1173	0.0162675
1174	0.0034447
1175	0.0001209
1176	0.0064042
1177	0.0217814
1178	0.045269
1179	0.0754994
1180	0.1108829
1181	0.150009
1182	0.1912225
1183	0.2331521
1184	0.2747085
1185	0.3150795
1186	0.3535435
1187	0.3898453
1188	0.4237979
1189	0.4553175
1190	0.4843958
1191	0.511147
1192	0.5356261
1193	0.5579396
1194	0.5782296
1195	0.5966329
1196	0.6132377
1197	0.6282266
1198	0.6417411
1199	0.6538923
1200	0.6647869
1201	0.6745079
1202	0.683151
1203	0.690792
1204	0.6974991
1205	0.7033289
1206	0.7083416
1207	0.7125711
1208	0.716051
1209	0.7188131
1210	0.7208816
1211	0.7222758
1212	0.7230113
1213	0.7230977
1214	0.7225388
1215	0.7213336
1216	0.7194899
1217	0.7169945
1218	0.7138305
1219	0.709977
1220	0.7054099
1221	0.7000667
1222	0.6939255
1223	0.6869524
1224	0.6790978
1225	0.670309
1226	0.6605232
1227	0.6496749
1228	0.6376879
1229	0.6244839
1230	0.6099736
1231	0.5941573
1232	0.5768867
1233	0.5580487
1234	0.5375435
1235	0.5152844
1236	0.4911853
1237	0.4651873
1238	0.4372502
1239	0.4073712
1240	0.3756101
1241	0.3418984
1242	0.3065775
1243	0.2700133
1244	0.2326753
1245	0.1951652
1246	0.1584484
1247	0.1232573
1248	0.090558
1249	0.0614207
1250	0.0369283
1251	0.0180664
1252	0.0056511
1253	0.0002288
1254	0.0020256
1255	0.0109175
1256	0.0264501
1257	0.0478847
1258	0.0742902
1259	0.1046169
1260	0.1378056
1261	0.1728346
1262	0.2087998
1263	0.2449156
1264	0.2805567
1265	0.3152251
1266	0.3485674
1267	0.3803283
1268	0.4103564
1269	0.4385739
1270	0.4649507
1271	0.4894351
1272	0.5121398
1273	0.5331577
1274	0.5525646
1275	0.570452
1276	0.5869226
1277	0.6020538
1278	0.6159251
1279	0.6286233
1280	0.6402242
1281	0.6508252
1282	0.6604717
1283	0.6692226
1284	0.6771335
1285	0.6842575
1286	0.6906109
1287	0.6962661
1288	0.7012697
1289	0.7056532
1290	0.709446
1291	0.7126722
1292	0.7153537
1293	0.7175079
1294	0.71915
1295	0.7202914
1296	0.7209412
1297	0.7210991
1298	0.7207676
1299	0.7199472
1300	0.7186356
1301	0.7168411
1302	0.7145524
1303	0.7117562
1304	0.7084399
1305	0.7045869
1306	0.7001793
1307	0.6951943
1308	0.689608
1309	0.6833912
1310	0.6765138
1311	0.6689395
1312	0.6606315
1313	0.6515462
1314	0.64164
1315	0.6308631
1316	0.6191618
1317	0.6064831
1318	0.5927662
1319	0.5779536
1320	0.5619811
1321	0.5447909
1322	0.5263201
1323	0.5065177
1324	0.4853319
1325	0.4627305
1326	0.4388319
1327	0.4135524
1328	0.3868807
1329	0.3588857
1330	0.3296686
1331	0.2992157
1332	0.2678714
1333	0.2359756
1334	0.2039137
1335	0.1721401
1336	0.1412026
1337	0.1117067
1338	0.0843236
1339	0.0597386
1340	0.0386391
1341	0.0217376
1342	0.0094473
1343	0.0021325
1344	2.67e-05
1345	0.0031792
1346	0.0114788
1347	0.0246224
1348	0.0421487
1349	0.0634823
1350	0.0879865
1351	0.1150191
1352	0.1439047
1353	0.1740048
1354	0.2047614
1355	0.2356764
1356	0.2662373
1357	0.2961874
1358	0.3253009
1359	0.3533773
1360	0.3802844
1361	0.4059259
1362	0.4302531
1363	0.4532478
1364	0.4749086
1365	0.4952624
1366	0.51434
1367	0.5321904
1368	0.5488607
1369	0.564409
1370	0.5788881
1371	0.5923578
1372	0.6048705
1373	0.6164828
1374	0.6272438
1375	0.6372048
1376	0.6464098
1377	0.6549039
1378	0.6627256
1379	0.6699131
1380	0.6765014
1381	0.6825207
1382	0.6880011
1383	0.6929678
1384	0.6974456
1385	0.7014552
1386	0.7050168
1387	0.7081466
1388	0.7108607
1389	0.7131716
1390	0.7150915
1391	0.7166235
1392	0.7177856
1393	0.7185859
1394	0.7190295
1395	0.7191196
1396	0.7188535
1397	0.7182302
1398	0.7172496
1399	0.715909
1400	0.7142049
1401	0.7121316
1402	0.7096827
1403	0.7068495
1404	0.7036228
1405	0.6999906
1406	0.6959689
1407	0.6915273
1408	0.6866445
1409	0.6813025
1410	0.6754815
1411	0.6691618
1412	0.6623192
1413	0.6549306
1414	0.646968
1415	0.638405
1416	0.6291482
1417	0.6192045
1418	0.6085518
1419	0.5971571
1420	0.5849813
1421	0.5720748
1422	0.5583455
1423	0.54374
1424	0.5282216
1425	0.5117554
1426	0.4943156
1427	0.4758736
1428	0.456416
1429	0.43593
1430	0.4144232
1431	0.3919089
1432	0.3684282
1433	0.3440339
1434	0.3188154
1435	0.292881
1436	0.2663843
1437	0.2395049
1438	0.2124742
1439	0.1855534
1440	0.1590569
1441	0.1333281
1442	0.1087437
1443	0.0857121
1444	0.0646427
1445	0.0459509
1446	0.0300227
1447	0.0172114
1448	0.0078062
1449	0.0020268
1450	2.1e-06
1451	0.001768
1452	0.0072632
1453	0.0163326
1454	0.0287411
1455	0.0441804
1456	0.0622579
1457	0.0826043
1458	0.1048209
1459	0.1285114
1460	0.1532848
1461	0.1787204
1462	0.2045334
1463	0.2304584
1464	0.2562422
1465	0.2816815
1466	0.3067092
1467	0.3311046
1468	0.3547272
1469	0.377503
1470	0.3993722
1471	0.420303
1472	0.4402797
1473	0.4592944
1474	0.4773582
1475	0.4944831
1476	0.5105958
1477	0.5258067
1478	0.540175
1479	0.5537296
1480	0.5665063
1481	0.5785361
1482	0.589855
1483	0.6004935
1484	0.6104863
1485	0.6198623
1486	0.6287067
1487	0.6369982
1488	0.6447514
1489	0.6519931
1490	0.6587464
1491	0.6649987
1492	0.6708043
1493	0.6761944
1494	0.6811859
1495	0.6857971
1496	0.6900426
1497	0.6939378
1498	0.697495
1499	0.7007273
1500	0.7036449
1501	0.7062728
1502	0.7086044
1503	0.7106442
1504	0.7123998
1505	0.7138771
1506	0.7150771
1507	0.7160118
1508	0.7166868
1509	0.717105
1510	0.7172687
1511	0.7171794
1512	0.7168378
1513	0.7162441
1514	0.7153974
1515	0.7142965
1516	0.7129428
1517	0.7113321
1518	0.7094601
1519	0.7073223
1520	0.7049141
1521	0.7022167
1522	0.699231
1523	0.695952
1524	0.6923723
1525	0.6884821
1526	0.6842978
1527	0.6797929
1528	0.6749513
1529	0.6697598
1530	0.6642065
1531	0.6582764
1532	0.651956
1533	0.6452283
1534	0.6380781
1535	0.6304873
1536	0.6224075
1537	0.6138397
1538	0.6047689
1539	0.5951766
1540	0.5850397
1541	0.5743388
1542	0.5630501
1543	0.5511546
1544	0.5386287
1545	0.525455
1546	0.5117111
1547	0.4973189
1548	0.4822375
1549	0.466459
1550	0.4499745
1551	0.432656
1552	0.4145927
1553	0.3958218
1554	0.3763674
1555	0.3562562
1556	0.335535
1557	0.314256
1558	0.2924956
1559	0.270338
1560	0.2478953
1561	0.2254475
1562	0.2030272
1563	0.1807535
1564	0.1588134
1565	0.1374047
1566	0.1167406
1567	0.0970532
1568	0.0785733
1569	0.0615418
1570	0.0461877
1571	0.0326483
1572	0.0212233
1573	0.012121
1574	0.0054859
1575	0.0014257
1576	2.5e-06
1577	0.0011897
1578	0.0049516
1579	0.011212
1580	0.0198556
1581	0.0307279
1582	0.0436473
1583	0.05841
1584	0.0747916
1585	0.0925659
1586	0.1116337
1587	0.1316822
1588	0.1524507
1589	0.1737327
1590	0.1953293
1591	0.216918
1592	0.2384523
1593	0.2598409
1594	0.2809642
1595	0.3017297
1596	0.3220523
1597	0.3418694
1598	0.3611316
1599	0.3797958
1600	0.3978379
1601	0.415235
1602	0.4319801
1603	0.4480654
1604	0.4634959
1605	0.4782743
1606	0.4924138
1607	0.5059239
1608	0.5188228
1609	0.5311243
1610	0.5428493
1611	0.5540138
1612	0.5646386
1613	0.5747443
1614	0.5843482
1615	0.5934717
1616	0.6021317
1617	0.6103487
1618	0.6181387
1619	0.625521
