Wavelength (nm)	Reflectance
700	0.0711808
701	0.0727481
702	0.074303
703	0.0758445
704	0.0773719
705	0.0788845
706	0.0803815
707	0.0818623
708	0.0833261
709	0.0847724
710	0.0862005
711	0.0876099
712	0.0889999
713	0.0903701
714	0.09172
715	0.093049
716	0.0943567
717	0.0956427
718	0.0969065
719	0.0981478
720	0.0993661
721	0.1005636
722	0.1017371
723	0.1028865
724	0.1040113
725	0.1051114
726	0.1061864
727	0.1072362
728	0.1082605
729	0.1092591
730	0.1102319
731	0.1111777
732	0.1120977
733	0.1129917
734	0.1138595
735	0.1147011
736	0.1155164
737	0.1163052
738	0.1170676
739	0.1178035
740	0.1185128
741	0.1191956
742	0.1198517
743	0.1204812
744	0.1210841
745	0.1216605
746	0.1222103
747	0.1227335
748	0.1232303
749	0.1237007
750	0.1241448
751	0.1245625
752	0.1249541
753	0.1253196
754	0.1256591
755	0.1259726
756	0.1262604
757	0.1265226
758	0.1267592
759	0.1269704
760	0.1271563
761	0.1273206
762	0.1274602
763	0.1275753
764	0.127666
765	0.1277325
766	0.1277749
767	0.1277935
768	0.1277884
769	0.1277598
770	0.1277079
771	0.1276282
772	0.1275253
773	0.1273995
774	0.127251
775	0.12708
776	0.1268867
777	0.1266713
778	0.1264341
779	0.1261753
780	0.1258952
781	0.1255939
782	0.1252717
783	0.1249289
784	0.1245657
785	0.1241823
786	0.1237791
787	0.1233562
788	0.122914
789	0.1224527
790	0.1219725
791	0.1214738
792	0.1209567
793	0.1204216
794	0.1198687
795	0.1192984
796	0.1187108
797	0.1181064
798	0.1174853
799	0.1168478
800	0.1161943
801	0.1155249
802	0.1148401
803	0.1141401
804	0.1134252
805	0.1126957
806	0.1119519
807	0.111194
808	0.1104225
809	0.1096375
810	0.1088394
811	0.1080367
812	0.1072215
813	0.1063943
814	0.1055553
815	0.1047048
816	0.103843
817	0.1029704
818	0.1020872
819	0.1011937
820	0.1002903
821	0.0993686
822	0.0984375
823	0.0974972
824	0.0965482
825	0.0955907
826	0.094625
827	0.0936515
828	0.0926705
829	0.0916822
830	0.0906871
831	0.0896942
832	0.088695
833	0.0876899
834	0.0866792
835	0.0856632
836	0.0846422
837	0.0836165
838	0.0825864
839	0.0815523
840	0.0805144
841	0.0794642
842	0.0784109
843	0.0773547
844	0.0762961
845	0.0752353
846	0.0741726
847	0.0731083
848	0.0720427
849	0.0709762
850	0.0699091
851	0.0688415
852	0.067774
853	0.0667067
854	0.0656399
855	0.064574
856	0.0635092
857	0.0624458
858	0.0613842
859	0.0603246
860	0.0592673
861	0.0582209
862	0.0571772
863	0.0561366
864	0.0550993
865	0.0540656
866	0.0530359
867	0.0520102
868	0.050989
869	0.0499725
870	0.0489608
871	0.0479466
872	0.046938
873	0.0459352
874	0.0449384
875	0.043948
876	0.0429641
877	0.041987
878	0.041017
879	0.0400542
880	0.039099
881	0.0381586
882	0.0372259
883	0.0363013
884	0.035385
885	0.0344772
886	0.0335779
887	0.0326876
888	0.0318063
889	0.0309343
890	0.0300717
891	0.0292188
892	0.0283757
893	0.0275426
894	0.0267197
895	0.0259072
896	0.0251052
897	0.0243138
898	0.0235333
899	0.0227638
900	0.0220055
901	0.0212531
902	0.0205123
903	0.0197833
904	0.0190662
905	0.0183611
906	0.0176682
907	0.0169875
908	0.0163193
909	0.0156636
910	0.0150204
911	0.0143945
912	0.0137811
913	0.0131805
914	0.0125926
915	0.0120177
916	0.0114558
917	0.0109069
918	0.0103711
919	0.0098485
920	0.0093392
921	0.0088397
922	0.0083538
923	0.0078815
924	0.0074229
925	0.006978
926	0.0065468
927	0.0061294
928	0.0057258
929	0.005336
930	0.00496
931	0.0046004
932	0.0042544
933	0.003922
934	0.0036034
935	0.0032984
936	0.0030071
937	0.0027295
938	0.0024655
939	0.0022151
940	0.0019784
941	0.0017553
942	0.0015457
943	0.0013496
944	0.0011671
945	0.000998
946	0.0008424
947	0.0007001
948	0.0005712
949	0.0004555
950	0.0003531
951	0.0002633
952	0.0001868
953	0.0001234
954	7.33e-05
955	3.62e-05
956	1.21e-05
957	9e-07
958	2.5e-06
959	1.7e-05
960	4.4e-05
961	8.34e-05
962	0.0001351
963	0.000199
964	0.0002751
965	0.0003633
966	0.0004633
967	0.0005753
968	0.000699
969	0.0008343
970	0.0009812
971	0.0011395
972	0.0013091
973	0.0014899
974	0.0016818
975	0.0018847
976	0.0020985
977	0.002323
978	0.0025582
979	0.0028038
980	0.0030598
981	0.0033278
982	0.003606
983	0.0038944
984	0.0041927
985	0.0045009
986	0.0048188
987	0.0051464
988	0.0054833
989	0.0058296
990	0.0061851
991	0.0065474
992	0.0069185
993	0.0072984
994	0.0076867
995	0.0080835
996	0.0084885
997	0.0089017
998	0.0093229
999	0.009752
1000	0.0101888
1001	0.0106332
1002	0.011085
1003	0.0115441
1004	0.0120105
1005	0.0124839
1006	0.0129642
1007	0.0134512
1008	0.013945
1009	0.0144451
1010	0.0149517
1011	0.0154645
1012	0.0159834
1013	0.0165082
1014	0.0170389
1015	0.0175752
1016	0.0181171
1017	0.0186643
1018	0.0192169
1019	0.0197746
1020	0.0203373
1021	0.0209082
1022	0.0214837
1023	0.022064
1024	0.0226488
1025	0.0232379
1026	0.0238313
1027	0.0244289
1028	0.0250303
1029	0.0256358
1030	0.0262449
1031	0.0268543
1032	0.0274672
1033	0.0280834
1034	0.0287029
1035	0.0293255
1036	0.0299511
1037	0.0305795
1038	0.0312107
1039	0.0318445
1040	0.0324809
1041	0.0331196
1042	0.0337607
1043	0.0344039
1044	0.0350492
1045	0.0356964
1046	0.0363455
1047	0.0369963
1048	0.0376488
1049	0.0383028
1050	0.0389582
1051	0.0396149
1052	0.0402728
1053	0.0409319
1054	0.041592
1055	0.042253
1056	0.0429147
1057	0.0435773
1058	0.0442404
1059	0.0449041
1060	0.0455681
1061	0.0462326
1062	0.0468973
1063	0.0475621
1064	0.048227
1065	0.0488919
1066	0.0495567
1067	0.0502213
1068	0.0508856
1069	0.0515496
1070	0.0522131
1071	0.052879
1072	0.0535444
1073	0.0542089
1074	0.0548727
1075	0.0555355
1076	0.0561975
1077	0.0568583
1078	0.0575182
1079	0.0581767
1080	0.058834
1081	0.0594874
1082	0.0601394
1083	0.06079
1084	0.0614391
1085	0.0620867
1086	0.0627327
1087	0.063377
1088	0.0640196
1089	0.0646604
1090	0.0652994
1091	0.0659364
1092	0.0665715
1093	0.0672046
1094	0.0678356
1095	0.0684645
1096	0.0690911
1097	0.0697155
1098	0.0703377
1099	0.0709575
1100	0.071575
1101	0.07219
1102	0.0728025
1103	0.0734125
1104	0.0740199
1105	0.0746247
1106	0.0752268
1107	0.0758262
1108	0.0764229
1109	0.0770167
1110	0.0776078
1111	0.0781959
1112	0.0787811
1113	0.0793635
1114	0.0799427
1115	0.0805191
1116	0.0810923
1117	0.0816625
1118	0.0822294
1119	0.0827933
1120	0.083354
1121	0.0839115
1122	0.0844656
1123	0.0850166
1124	0.0855642
1125	0.0861085
1126	0.0866494
1127	0.0871868
1128	0.087721
1129	0.0882516
1130	0.0887788
1131	0.0893034
1132	0.0898244
1133	0.0903417
1134	0.0908555
