Wavelength (nm)	Transmittance
700	0.9288192
701	0.9272519
702	0.925697
703	0.9241555
704	0.9226281
705	0.9211155
706	0.9196185
707	0.9181377
708	0.9166739
709	0.9152276
710	0.9137995
711	0.9123901
712	0.9110001
713	0.9096299
714	0.90828
715	0.906951
716	0.9056433
717	0.9043573
718	0.9030935
719	0.9018522
720	0.9006339
721	0.8994364
722	0.8982629
723	0.8971135
724	0.8959887
725	0.8948886
726	0.8938136
727	0.8927638
728	0.8917395
729	0.8907409
730	0.8897681
731	0.8888223
732	0.8879023
733	0.8870083
734	0.8861405
735	0.8852989
736	0.8844836
737	0.8836948
738	0.8829324
739	0.8821965
740	0.8814872
741	0.8808044
742	0.8801483
743	0.8795188
744	0.8789159
745	0.8783395
746	0.8777897
747	0.8772665
748	0.8767697
749	0.8762993
750	0.8758552
751	0.8754375
752	0.8750459
753	0.8746804
754	0.8743409
755	0.8740274
756	0.8737396
757	0.8734774
758	0.8732408
759	0.8730296
760	0.8728437
761	0.8726794
762	0.8725398
763	0.8724247
764	0.872334
765	0.8722675
766	0.8722251
767	0.8722065
768	0.8722116
769	0.8722402
770	0.8722921
771	0.8723718
772	0.8724747
773	0.8726005
774	0.872749
775	0.87292
776	0.8731133
777	0.8733287
778	0.8735659
779	0.8738247
780	0.8741048
781	0.8744061
782	0.8747283
783	0.8750711
784	0.8754343
785	0.8758177
786	0.8762209
787	0.8766438
788	0.877086
789	0.8775473
790	0.8780275
791	0.8785262
792	0.8790433
793	0.8795784
794	0.8801313
795	0.8807016
796	0.8812892
797	0.8818936
798	0.8825147
799	0.8831522
800	0.8838057
801	0.8844751
802	0.8851599
803	0.8858599
804	0.8865748
805	0.8873043
806	0.8880481
807	0.888806
808	0.8895775
809	0.8903625
810	0.8911606
811	0.8919633
812	0.8927785
813	0.8936057
814	0.8944447
815	0.8952952
816	0.896157
817	0.8970296
818	0.8979128
819	0.8988063
820	0.8997097
821	0.9006314
822	0.9015625
823	0.9025028
824	0.9034518
825	0.9044093
826	0.905375
827	0.9063485
828	0.9073295
829	0.9083178
830	0.9093129
831	0.9103058
832	0.911305
833	0.9123101
834	0.9133208
835	0.9143368
836	0.9153578
837	0.9163835
838	0.9174136
839	0.9184477
840	0.9194856
841	0.9205358
842	0.9215891
843	0.9226453
844	0.9237039
845	0.9247647
846	0.9258274
847	0.9268917
848	0.9279573
849	0.9290238
850	0.9300909
851	0.9311585
852	0.932226
853	0.9332933
854	0.9343601
855	0.935426
856	0.9364908
857	0.9375542
858	0.9386158
859	0.9396754
860	0.9407327
861	0.9417791
862	0.9428228
863	0.9438634
864	0.9449007
865	0.9459344
866	0.9469641
867	0.9479898
868	0.949011
869	0.9500275
870	0.9510392
871	0.9520534
872	0.953062
873	0.9540648
874	0.9550616
875	0.956052
876	0.9570359
877	0.958013
878	0.958983
879	0.9599458
880	0.960901
881	0.9618414
882	0.9627741
883	0.9636987
884	0.964615
885	0.9655228
886	0.9664221
887	0.9673124
888	0.9681937
889	0.9690657
890	0.9699283
891	0.9707812
892	0.9716243
893	0.9724574
894	0.9732803
895	0.9740928
896	0.9748948
897	0.9756862
898	0.9764667
899	0.9772362
900	0.9779945
901	0.9787469
902	0.9794877
903	0.9802167
904	0.9809338
905	0.9816389
906	0.9823318
907	0.9830125
908	0.9836807
909	0.9843364
910	0.9849796
911	0.9856055
912	0.9862189
913	0.9868195
914	0.9874074
915	0.9879823
916	0.9885442
917	0.9890931
918	0.9896289
919	0.9901515
920	0.9906608
921	0.9911603
922	0.9916462
923	0.9921185
924	0.9925771
925	0.993022
926	0.9934532
927	0.9938706
928	0.9942742
929	0.994664
930	0.99504
931	0.9953996
932	0.9957456
933	0.996078
934	0.9963966
935	0.9967016
936	0.9969929
937	0.9972705
938	0.9975345
939	0.9977849
940	0.9980216
941	0.9982447
942	0.9984543
943	0.9986504
944	0.9988329
945	0.999002
946	0.9991576
947	0.9992999
948	0.9994288
949	0.9995445
950	0.9996469
951	0.9997367
952	0.9998132
953	0.9998766
954	0.9999267
955	0.9999638
956	0.9999879
957	0.9999991
958	0.9999975
959	0.999983
960	0.999956
961	0.9999166
962	0.9998649
963	0.999801
964	0.9997249
965	0.9996367
966	0.9995367
967	0.9994247
968	0.999301
969	0.9991657
970	0.9990188
971	0.9988605
972	0.9986909
973	0.9985101
974	0.9983182
975	0.9981153
976	0.9979015
977	0.997677
978	0.9974418
979	0.9971962
980	0.9969402
981	0.9966722
982	0.996394
983	0.9961056
984	0.9958073
985	0.9954991
986	0.9951812
987	0.9948536
988	0.9945167
989	0.9941704
990	0.9938149
991	0.9934526
992	0.9930815
993	0.9927016
994	0.9923133
995	0.9919165
996	0.9915115
997	0.9910983
998	0.9906771
999	0.990248
1000	0.9898112
1001	0.9893668
1002	0.988915
1003	0.9884559
1004	0.9879895
1005	0.9875161
1006	0.9870358
1007	0.9865488
1008	0.986055
1009	0.9855549
1010	0.9850483
1011	0.9845355
1012	0.9840166
1013	0.9834918
1014	0.9829611
1015	0.9824248
1016	0.9818829
1017	0.9813357
1018	0.9807831
1019	0.9802254
1020	0.9796627
1021	0.9790918
1022	0.9785163
1023	0.977936
1024	0.9773512
1025	0.9767621
1026	0.9761687
1027	0.9755711
1028	0.9749697
1029	0.9743642
1030	0.9737551
1031	0.9731457
1032	0.9725328
1033	0.9719166
1034	0.9712971
1035	0.9706745
1036	0.9700489
1037	0.9694205
1038	0.9687893
1039	0.9681555
1040	0.9675191
1041	0.9668804
1042	0.9662393
1043	0.9655961
1044	0.9649508
1045	0.9643036
1046	0.9636545
1047	0.9630037
1048	0.9623512
1049	0.9616972
1050	0.9610418
1051	0.9603851
1052	0.9597272
1053	0.9590681
1054	0.958408
1055	0.957747
1056	0.9570853
1057	0.9564227
1058	0.9557596
1059	0.9550959
1060	0.9544319
1061	0.9537674
1062	0.9531027
1063	0.9524379
1064	0.951773
1065	0.9511081
1066	0.9504433
1067	0.9497787
1068	0.9491144
1069	0.9484504
1070	0.9477869
1071	0.947121
1072	0.9464556
1073	0.9457911
1074	0.9451273
1075	0.9444645
1076	0.9438025
1077	0.9431417
1078	0.9424818
1079	0.9418233
1080	0.941166
1081	0.9405126
1082	0.9398606
1083	0.93921
1084	0.9385609
1085	0.9379133
1086	0.9372673
1087	0.936623
1088	0.9359804
1089	0.9353396
1090	0.9347006
1091	0.9340636
1092	0.9334285
1093	0.9327954
1094	0.9321644
1095	0.9315355
1096	0.9309089
1097	0.9302845
1098	0.9296623
1099	0.9290425
1100	0.928425
1101	0.92781
1102	0.9271975
1103	0.9265875
1104	0.9259801
1105	0.9253753
1106	0.9247732
1107	0.9241738
1108	0.9235771
1109	0.9229833
1110	0.9223922
1111	0.9218041
1112	0.9212189
1113	0.9206365
1114	0.9200573
1115	0.9194809
1116	0.9189077
1117	0.9183375
1118	0.9177706
1119	0.9172067
1120	0.916646
1121	0.9160885
1122	0.9155344
1123	0.9149834
1124	0.9144358
1125	0.9138915
1126	0.9133506
1127	0.9128132
1128	0.912279
1129	0.9117484
1130	0.9112212
1131	0.9106966
1132	0.9101756
1133	0.9096583
1134	0.9091445
1135	0.9086345
1136	0.908128
1137	0.9076254
1138	0.9071264
1139	0.9066312
1140	0.9061397
1141	0.9056526
1142	0.9051691
1143	0.9046893
1144	0.9042133
1145	0.9037411
1146	0.9032726
1147	0.9028079
1148	0.902347
1149	0.9018899
1150	0.9014367
1151	0.9009873
1152	0.9005417
1153	0.9001
1154	0.8996622
1155	0.8992282
1156	0.8987981
1157	0.8983719
1158	0.8979497
1159	0.8975314
1160	0.8971169
1161	0.8967064
1162	0.8962998
1163	0.8958972
1164	0.8954985
1165	0.8951038
1166	0.8947129
1167	0.8943261
1168	0.8939432
1169	0.8935644
1170	0.8931894
1171	0.8928185
1172	0.8924515
1173	0.8920885
1174	0.8917295
1175	0.8913744
1176	0.8910233
1177	0.8906762
1178	0.8903331
1179	0.889994
1180	0.8896589
1181	0.8893277
1182	0.8890005
1183	0.8886773
1184	0.888358
1185	0.8880427
1186	0.8877315
1187	0.8874241
1188	0.8871208
1189	0.8868213
1190	0.8865259
1191	0.8862344
1192	0.8859469
1193	0.8856633
1194	0.8853836
1195	0.8851079
1196	0.8848361
1197	0.8845682
1198	0.8843043
1199	0.8840443
1200	0.8837881
1201	0.8835378
1202	0.8832915
1203	0.8830492
1204	0.8828107
1205	0.8825763
1206	0.8823458
1207	0.8821192
1208	0.8818966
1209	0.8816778
1210	0.881463
1211	0.8812497
1212	0.8810403
1213	0.8808347
1214	0.8806329
1215	0.8804349
1216	0.8802407
1217	0.8800502
1218	0.8798635
1219	0.8796806
1220	0.8795014
1221	0.8793259
1222	0.8791542
1223	0.8789862
1224	0.8788218
1225	0.8786612
1226	0.8785042
1227	0.8783509
1228	0.8782013
1229	0.8780553
1230	0.877913
1231	0.8777743
1232	0.8776392
1233	0.8775077
1234	0.8773797
1235	0.8772554
1236	0.8771346
1237	0.8770174
1238	0.8769038
1239	0.8767936
1240	0.876687
1241	0.8765839
1242	0.8764843
1243	0.8763881
1244	0.8762954
1245	0.8762062
1246	0.8761204
1247	0.8760381
1248	0.8759591
1249	0.8758836
1250	0.8758114
1251	0.8757426
1252	0.8756772
1253	0.8756152
1254	0.8755564
1255	0.875501
1256	0.8754489
1257	0.8754001
1258	0.8753546
1259	0.8753123
1260	0.8752733
1261	0.8752376
1262	0.875205
1263	0.8751757
1264	0.8751495
1265	0.8751266
1266	0.8751068
1267	0.8750901
1268	0.8750766
1269	0.8750663
1270	0.875059
1271	0.8750591
1272	0.8750622
1273	0.8750685
1274	0.8750779
1275	0.8750904
1276	0.875106
1277	0.8751246
1278	0.8751463
1279	0.875171
1280	0.8751987
1281	0.8752249
1282	0.8752541
1283	0.8752862
1284	0.8753212
1285	0.8753591
1286	0.8753998
1287	0.8754434
1288	0.8754898
1289	0.8755391
1290	0.8755912
1291	0.8756461
1292	0.8757038
1293	0.8757642
1294	0.8758274
1295	0.8758933
1296	0.8759619
1297	0.8760333
1298	0.8761073
1299	0.876184
1300	0.8762634
1301	0.8763454
1302	0.8764301
1303	0.8765173
1304	0.8766072
1305	0.8766996
1306	0.8767947
1307	0.8768922
1308	0.8769923
1309	0.877095
1310	0.8772001
1311	0.8773078
1312	0.8774179
1313	0.8775305
1314	0.8776455
1315	0.8777629
1316	0.8778828
1317	0.8780051
1318	0.8781297
1319	0.8782568
1320	0.8783862
1321	0.8785179
1322	0.878652
1323	0.8787883
1324	0.878927
1325	0.8790679
1326	0.8792111
1327	0.8793566
1328	0.8795043
1329	0.8796542
1330	0.8798063
1331	0.8799606
1332	0.880117
1333	0.8802757
1334	0.8804364
1335	0.8805993
1336	0.8807643
1337	0.8809314
1338	0.8811006
1339	0.8812719
1340	0.8814452
1341	0.8816206
1342	0.8817979
1343	0.8819773
1344	0.8821587
1345	0.882342
1346	0.8825273
1347	0.8827146
1348	0.8829038
1349	0.8830949
1350	0.8832879
1351	0.8834886
1352	0.8836912
1353	0.8838957
1354	0.8841021
1355	0.8843103
1356	0.8845203
1357	0.8847322
1358	0.8849459
1359	0.8851613
1360	0.8853786
1361	0.8855916
1362	0.8858064
1363	0.886023
1364	0.8862411
1365	0.886461
1366	0.8866826
1367	0.8869058
1368	0.8871306
1369	0.8873571
1370	0.8875851
1371	0.8878148
1372	0.888046
1373	0.8882789
1374	0.8885132
1375	0.8887491
1376	0.8889865
1377	0.8892254
1378	0.8894658
1379	0.8897077
1380	0.8899511
1381	0.8901959
1382	0.8904421
1383	0.8906898
1384	0.8909389
1385	0.8911893
1386	0.8914412
1387	0.8916944
1388	0.8919489
1389	0.8922048
1390	0.8924621
1391	0.8927206
1392	0.8929804
1393	0.8932415
1394	0.8935039
1395	0.8937676
1396	0.8940324
1397	0.8942986
1398	0.8945659
1399	0.8948344
1400	0.8951041
1401	0.895375
1402	0.895647
1403	0.8959202
1404	0.8961945
1405	0.89647
1406	0.8967465
1407	0.8970242
1408	0.8973029
1409	0.8975826
1410	0.8978635
1411	0.8981516
1412	0.8984408
1413	0.898731
1414	0.8990223
1415	0.8993145
1416	0.8996077
1417	0.8999018
1418	0.9001969
1419	0.900493
1420	0.9007899
1421	0.9010815
1422	0.901374
1423	0.9016673
1424	0.9019615
1425	0.9022566
1426	0.9025525
1427	0.9028492
1428	0.9031468
1429	0.9034452
1430	0.9037443
1431	0.9040443
1432	0.904345
1433	0.9046465
1434	0.9049486
1435	0.9052516
1436	0.9055552
1437	0.9058596
1438	0.9061647
1439	0.9064704
1440	0.9067768
1441	0.9070839
1442	0.9073916
1443	0.9076999
1444	0.9080089
1445	0.9083185
1446	0.9086287
1447	0.9089394
1448	0.9092508
1449	0.9095627
1450	0.9098751
1451	0.9101881
1452	0.9105016
1453	0.9108157
1454	0.9111302
1455	0.9114452
1456	0.9117607
1457	0.9120767
1458	0.9123931
1459	0.91271
1460	0.9130273
1461	0.913345
1462	0.9136632
1463	0.9139817
1464	0.9143006
1465	0.91462
1466	0.9149396
1467	0.9152597
1468	0.91558
1469	0.9159008
1470	0.9162218
1471	0.9165431
1472	0.9168648
1473	0.9171867
1474	0.917509
1475	0.9178314
1476	0.9181542
1477	0.9184772
1478	0.9188004
1479	0.9191238
1480	0.9194475
1481	0.9197775
1482	0.9201078
1483	0.9204381
1484	0.9207687
1485	0.9210994
1486	0.9214302
1487	0.9217612
1488	0.9220922
1489	0.9224234
1490	0.9227547
1491	0.92308
1492	0.9234054
1493	0.9237308
1494	0.9240563
1495	0.9243819
1496	0.9247075
1497	0.9250332
1498	0.9253589
1499	0.9256847
1500	0.9260104
1501	0.9263362
1502	0.9266619
1503	0.9269876
1504	0.9273133
1505	0.9276389
1506	0.9279646
1507	0.9282901
1508	0.9286156
1509	0.928941
1510	0.9292664
1511	0.9295916
1512	0.9299168
1513	0.9302418
1514	0.9305667
1515	0.9308915
1516	0.9312162
1517	0.9315407
1518	0.931865
1519	0.9321892
1520	0.9325132
1521	0.9328371
1522	0.9331607
1523	0.9334842
1524	0.9338074
1525	0.9341305
1526	0.9344532
1527	0.9347758
1528	0.9350981
1529	0.9354202
1530	0.9357421
1531	0.9360693
1532	0.9363963
1533	0.936723
1534	0.9370493
1535	0.9373753
1536	0.937701
1537	0.9380263
1538	0.9383514
1539	0.938676
1540	0.9390003
1541	0.9393186
1542	0.9396366
1543	0.9399542
1544	0.9402715
1545	0.9405883
1546	0.9409048
1547	0.9412209
1548	0.9415366
1549	0.9418519
1550	0.9421667
1551	0.9424812
1552	0.9427952
1553	0.9431088
1554	0.9434219
1555	0.9437346
1556	0.9440468
1557	0.9443586
1558	0.9446698
1559	0.9449806
1560	0.9452909
1561	0.9456008
1562	0.9459101
1563	0.9462189
1564	0.9465272
1565	0.946835
1566	0.9471422
1567	0.9474489
1568	0.9477551
1569	0.9480607
1570	0.9483658
1571	0.9486703
1572	0.9489743
1573	0.9492776
1574	0.9495805
1575	0.9498826
1576	0.9501843
1577	0.9504853
1578	0.9507857
1579	0.9510855
1580	0.9513847
1581	0.9516883
1582	0.9519912
1583	0.9522935
1584	0.9525951
1585	0.952896
1586	0.9531962
1587	0.9534958
1588	0.9537946
1589	0.9540928
1590	0.9543902
1591	0.9546821
1592	0.9549733
1593	0.9552638
1594	0.9555536
1595	0.9558427
1596	0.9561311
1597	0.9564187
1598	0.9567057
1599	0.9569919
1600	0.9572774
1601	0.9575622
1602	0.9578463
1603	0.9581295
1604	0.9584121
1605	0.9586939
1606	0.9589749
1607	0.9592552
1608	0.9595347
1609	0.9598134
1610	0.9600914
1611	0.9603686
1612	0.9606449
1613	0.9609206
1614	0.9611953
1615	0.9614694
1616	0.9617426
1617	0.962015
1618	0.9622865
1619	0.9625573
1620	0.9628272
1621	0.9630964
1622	0.9633647
1623	0.9636321
1624	0.9638987
1625	0.9641645
1626	0.9644294
1627	0.9646935
1628	0.9649568
1629	0.9652191
1630	0.9654806
1631	0.9657455
1632	0.9660094
1633	0.9662724
1634	0.9665346
1635	0.9667958
1636	0.9670561
1637	0.9673154
1638	0.9675739
1639	0.9678314
1640	0.968088
1641	0.9683396
1642	0.9685904
1643	0.9688402
1644	0.969089
1645	0.9693371
1646	0.9695841
1647	0.9698303
1648	0.9700755
1649	0.9703198
1650	0.9705632
1651	0.9708057
1652	0.9710472
1653	0.9712877
1654	0.9715274
1655	0.9717661
1656	0.9720038
1657	0.9722406
1658	0.9724765
1659	0.9727113
1660	0.9729453
1661	0.9731783
1662	0.9734103
1663	0.9736413
1664	0.9738714
1665	0.9741005
1666	0.9743287
1667	0.9745559
1668	0.9747821
1669	0.9750073
1670	0.9752315
1671	0.9754583
1672	0.975684
1673	0.9759087
1674	0.9761324
1675	0.976355
1676	0.9765767
1677	0.9767973
1678	0.9770168
1679	0.9772354
1680	0.9774528
1681	0.977666
1682	0.9778781
1683	0.9780893
1684	0.9782994
1685	0.9785086
1686	0.9787167
1687	0.9789238
1688	0.9791299
1689	0.979335
1690	0.979539
1691	0.9797421
1692	0.9799441
1693	0.9801451
1694	0.9803451
1695	0.9805441
1696	0.980742
1697	0.9809389
1698	0.9811348
1699	0.9813297
1700	0.9815235
1701	0.9817192
1702	0.9819139
1703	0.9821075
1704	0.9823001
1705	0.9824916
1706	0.982682
1707	0.9828713
1708	0.9830596
1709	0.9832468
1710	0.9834329
1711	0.9836152
1712	0.9837964
1713	0.9839766
1714	0.9841557
1715	0.9843339
1716	0.9845109
1717	0.984687
1718	0.984862
1719	0.9850359
1720	0.9852088
1721	0.9853807
1722	0.9855515
1723	0.9857213
1724	0.98589
1725	0.9860577
1726	0.9862243
1727	0.9863899
1728	0.9865545
1729	0.986718
1730	0.9868804
1731	0.9870418
1732	0.9872022
1733	0.9873615
1734	0.9875198
1735	0.987677
1736	0.9878331
1737	0.9879883
1738	0.9881423
1739	0.9882954
1740	0.9884474
1741	0.9886005
1742	0.9887526
1743	0.9889036
1744	0.9890536
1745	0.9892024
1746	0.9893502
1747	0.9894969
1748	0.9896425
1749	0.989787
1750	0.9899305
1751	0.9900708
1752	0.9902101
1753	0.9903483
1754	0.9904855
1755	0.9906216
1756	0.9907568
1757	0.9908908
1758	0.9910239
1759	0.9911558
1760	0.9912868
1761	0.9914167
1762	0.9915456
1763	0.9916734
1764	0.9918002
1765	0.991926
1766	0.9920508
1767	0.9921745
1768	0.9922971
1769	0.9924188
1770	0.9925394
1771	0.9926607
1772	0.9927809
1773	0.9929001
1774	0.9930183
1775	0.9931353
1776	0.9932513
1777	0.9933663
1778	0.9934802
1779	0.9935931
1780	0.9937048
1781	0.993814
1782	0.9939222
1783	0.9940293
1784	0.9941355
1785	0.9942406
1786	0.9943447
1787	0.9944477
1788	0.9945498
1789	0.9946509
1790	0.994751
1791	0.99485
1792	0.9949481
1793	0.9950451
1794	0.9951411
1795	0.9952362
1796	0.9953302
1797	0.9954233
1798	0.9955153
1799	0.9956063
1800	0.9956964
1801	0.9957867
1802	0.995876
1803	0.9959643
1804	0.9960515
1805	0.9961378
1806	0.996223
1807	0.9963072
1808	0.9963904
1809	0.9964726
1810	0.9965538
1811	0.9966329
1812	0.996711
1813	0.9967881
1814	0.9968642
1815	0.9969394
1816	0.9970136
1817	0.9970869
1818	0.9971592
1819	0.9972305
1820	0.9973009
1821	0.9973703
1822	0.9974387
1823	0.9975062
1824	0.9975728
1825	0.9976383
1826	0.997703
1827	0.9977667
1828	0.9978294
1829	0.9978912
1830	0.9979521
1831	0.9980128
1832	0.9980726
1833	0.9981314
1834	0.9981893
1835	0.9982462
1836	0.9983021
1837	0.9983571
1838	0.9984111
1839	0.9984642
1840	0.9985163
1841	0.9985668
1842	0.9986164
1843	0.9986651
1844	0.9987128
1845	0.9987597
1846	0.9988056
1847	0.9988506
1848	0.9988947
1849	0.998938
1850	0.9989803
1851	0.9990217
1852	0.9990622
1853	0.9991019
1854	0.9991406
1855	0.9991785
1856	0.9992155
