Wavelength (nm)	Transmittance
200	0.8370425
201	0.8360808
202	0.8438425
203	0.859548
204	0.8817996
205	0.9085003
206	0.9368213
207	0.9633476
208	0.984495
209	0.9971885
210	0.9995975
211	0.9897241
212	0.9688869
213	0.9413964
214	0.9119692
215	0.8846774
216	0.8626866
217	0.8474593
218	0.839918
219	0.8403234
220	0.8484144
221	0.8632424
222	0.8836858
223	0.9080169
224	0.9339617
225	0.9588039
226	0.9795186
227	0.9937844
228	0.9998462
229	0.9971119
230	0.9862573
231	0.9692118
232	0.9481542
233	0.9254693
234	0.9033193
235	0.8834521
236	0.8672436
237	0.855356
238	0.848259
239	0.846139
240	0.8489511
241	0.8563414
242	0.8679073
243	0.8830223
244	0.9008504
245	0.9203429
246	0.940196
247	0.9591063
248	0.9756796
249	0.9886295
250	0.9969372
251	0.999986
252	0.9977491
253	0.9905741
254	0.9792103
255	0.9646837
256	0.948251
257	0.9309682
258	0.9138729
259	0.8978484
260	0.8836003
261	0.8716854
262	0.862428
263	0.8560594
264	0.8526962
265	0.852359
266	0.8549421
267	0.860313
268	0.8682625
269	0.8785081
270	0.8906909
271	0.9043221
272	0.9189399
273	0.9339714
274	0.948793
275	0.9627559
276	0.9751387
277	0.9854702
278	0.9932654
279	0.9981705
280	0.9999897
281	0.9986998
282	0.9944472
283	0.9875277
284	0.9783542
285	0.9674181
286	0.9553336
287	0.9425501
288	0.9295613
289	0.916814
290	0.9046971
291	0.8935364
292	0.8835947
293	0.8750757
294	0.8681292
295	0.862857
296	0.8593239
297	0.857524
298	0.8574503
299	0.8590682
300	0.8623165
301	0.8671094
302	0.873336
303	0.8808612
304	0.8895242
305	0.8991393
306	0.9094492
307	0.9202656
308	0.931338
309	0.9424004
310	0.953177
311	0.9633496
312	0.9726982
313	0.9809734
314	0.9879534
315	0.9934535
316	0.9973347
317	0.9995097
318	0.9999466
319	0.9986683
320	0.9957504
321	0.9913357
322	0.9855746
323	0.9786553
324	0.9707857
325	0.9621843
326	0.9531069
327	0.943733
328	0.9342636
329	0.9248847
330	0.915764
331	0.9070498
332	0.8988703
333	0.8913344
334	0.8845315
335	0.8785339
336	0.8734104
337	0.8691814
338	0.8658749
339	0.8635072
340	0.8620842
341	0.8616019
342	0.8620479
343	0.8634013
344	0.8656336
345	0.8687088
346	0.8725836
347	0.8772075
348	0.8825227
349	0.8884642
350	0.8949606
351	0.9018938
352	0.9092149
353	0.9168336
354	0.9246541
355	0.9325762
356	0.9404958
357	0.9483071
358	0.9559033
359	0.9631789
360	0.9700314
361	0.9763636
362	0.9820854
363	0.9871159
364	0.9913855
365	0.9948374
366	0.997418
367	0.9991187
368	0.9999267
369	0.9998444
370	0.998889
371	0.9970911
372	0.9944942
373	0.9911524
374	0.9871295
375	0.9824964
376	0.9773546
377	0.9717625
378	0.9658009
379	0.9595505
380	0.9530912
381	0.9464998
382	0.9398504
383	0.9332126
384	0.9266515
385	0.9202269
386	0.9139933
387	0.9079998
388	0.9022902
389	0.8969027
390	0.8918709
391	0.8872233
392	0.8829841
393	0.879173
394	0.875806
395	0.8728952
396	0.8704496
397	0.8684747
398	0.8669736
399	0.8659465
400	0.8653911
401	0.8652937
402	0.865652
403	0.8664573
404	0.8676991
405	0.8693652
406	0.8714413
407	0.8739116
408	0.8767584
409	0.8799626
410	0.8835031
411	0.8873573
412	0.8915012
413	0.8959091
414	0.9005536
415	0.9054061
416	0.9104364
417	0.9156133
418	0.9209041
419	0.9262752
420	0.9316925
421	0.9371207
422	0.9425245
423	0.947868
424	0.9531158
425	0.9582326
426	0.9631539
427	0.9678788
428	0.972376
429	0.9766151
430	0.9805679
431	0.9842083
432	0.9875127
